datetime,open,high,low,close,range,body,direction,tickvol,spread
2026-02-05 03:21:00,4945.55,4950.89,4939.88,4947.47,11.01,1.92,BULL,956,4
2026-02-05 03:22:00,4947.47,4959.75,4942.12,4958.75,17.63,11.28,BULL,1181,4
2026-02-05 03:23:00,4958.75,4960.7,4948.95,4951.06,11.75,7.69,BEAR,956,4
2026-02-05 03:24:00,4950.86,4955.8,4947.78,4947.78,8.02,3.08,BEAR,905,4
2026-02-05 03:25:00,4947.78,4949.97,4938.02,4943.17,11.95,4.61,BEAR,890,4
2026-02-05 03:26:00,4943.11,4951.69,4936.1,4950.94,15.59,7.83,BULL,1102,4
2026-02-05 03:27:00,4950.94,4957.52,4947.92,4947.92,9.6,3.02,BEAR,1119,4
2026-02-05 03:28:00,4947.9,4957.75,4947.89,4956.37,9.86,8.47,BULL,1033,4
2026-02-05 03:29:00,4956.38,4956.88,4949.09,4951.97,7.79,4.41,BEAR,820,4
2026-02-05 03:30:00,4951.97,4965.82,4951.97,4963.12,13.85,11.15,BULL,1045,4
2026-02-05 03:31:00,4963.12,4968.33,4962.49,4967.06,5.84,3.94,BULL,957,4
2026-02-05 03:32:00,4967.05,4971.15,4966.1,4969.02,5.05,1.97,BULL,894,4
2026-02-05 03:33:00,4969.15,4971.2,4967.82,4969.83,3.38,0.68,BULL,703,4
2026-02-05 03:34:00,4969.83,4971.66,4965.8,4971.06,5.86,1.23,BULL,885,4
2026-02-05 03:35:00,4971.09,4977.31,4971.09,4976.96,6.22,5.87,BULL,1120,4
2026-02-05 03:36:00,4976.95,4980.97,4976.63,4980.97,4.34,4.02,BULL,745,4
2026-02-05 03:37:00,4980.97,4982.36,4977.12,4977.92,5.24,3.05,BEAR,1034,4
2026-02-05 03:38:00,4977.99,4985.2,4977.17,4977.23,8.03,0.76,BEAR,1008,4
2026-02-05 03:39:00,4977.23,4981.92,4975.66,4979.6,6.26,2.37,BULL,1054,4
2026-02-05 03:40:00,4979.59,4979.88,4968.72,4968.88,11.16,10.71,BEAR,1071,4
2026-02-05 03:41:00,4968.91,4973.22,4966.02,4970.93,7.2,2.02,BULL,1220,4
2026-02-05 03:42:00,4970.94,4981.07,4970.8,4981.07,10.27,10.13,BULL,1099,4
2026-02-05 03:43:00,4981.19,4983.67,4977.95,4978.23,5.72,2.96,BEAR,1077,4
2026-02-05 03:44:00,4978.23,4982.26,4975.24,4980.15,7.02,1.92,BULL,757,4
2026-02-05 03:45:00,4980.12,4980.94,4976.16,4976.73,4.78,3.39,BEAR,792,4
2026-02-05 03:46:00,4976.73,4978.73,4972.85,4973.62,5.88,3.11,BEAR,958,4
2026-02-05 03:47:00,4973.62,4976.81,4968.39,4976.45,8.42,2.83,BULL,921,4
2026-02-05 03:48:00,4976.45,4980.28,4974.05,4974.63,6.23,1.82,BEAR,700,4
2026-02-05 03:49:00,4974.62,4981.1,4974.04,4980.4,7.06,5.78,BULL,687,4
2026-02-05 03:50:00,4980.4,4981.65,4977.69,4979.76,3.96,0.64,BEAR,629,4
2026-02-05 03:51:00,4979.76,4983.71,4977.76,4983.59,5.95,3.83,BULL,668,4
2026-02-05 03:52:00,4983.57,4983.71,4976.6,4980.81,7.11,2.76,BEAR,563,4
2026-02-05 03:53:00,4980.81,4986.44,4978.89,4980.41,7.55,0.4,BEAR,525,4
2026-02-05 03:54:00,4980.41,4982.21,4976.68,4979.43,5.53,0.98,BEAR,653,4
2026-02-05 03:55:00,4979.43,4981.82,4977.96,4978.35,3.86,1.08,BEAR,550,4
2026-02-05 03:56:00,4978.35,4979.89,4969.37,4970.27,10.52,8.08,BEAR,713,4
2026-02-05 03:57:00,4970.27,4974.57,4969.33,4971.72,5.24,1.45,BULL,816,4
2026-02-05 03:58:00,4971.72,4974.06,4962.12,4962.4,11.94,9.32,BEAR,935,4
2026-02-05 03:59:00,4962.59,4962.73,4957.64,4958.89,5.09,3.7,BEAR,953,4
2026-02-05 04:00:00,4958.91,4962.14,4950.56,4951.79,11.58,7.12,BEAR,1198,4
2026-02-05 04:01:00,4951.8,4957.27,4948.94,4953.13,8.33,1.33,BULL,1122,4
2026-02-05 04:02:00,4953.14,4959.26,4953.01,4953.05,6.25,0.09,BEAR,1073,4
2026-02-05 04:03:00,4953.05,4957.06,4950.52,4952.51,6.54,0.54,BEAR,1029,4
2026-02-05 04:04:00,4952.44,4955.03,4948.59,4950.33,6.44,2.11,BEAR,1140,4
2026-02-05 04:05:00,4950.33,4950.91,4940.71,4943.11,10.2,7.22,BEAR,1130,4
2026-02-05 04:06:00,4942.98,4948.16,4938.87,4939.01,9.29,3.97,BEAR,1052,4
2026-02-05 04:07:00,4939.01,4943.27,4932.09,4932.5,11.18,6.51,BEAR,1024,4
2026-02-05 04:08:00,4932.5,4945.03,4932.38,4944.94,12.65,12.44,BULL,803,4
2026-02-05 04:09:00,4944.94,4945.13,4932.39,4937.33,12.74,7.61,BEAR,886,4
2026-02-05 04:10:00,4937.33,4943.81,4933.9,4943.81,9.91,6.48,BULL,1126,4
2026-02-05 04:11:00,4943.81,4945.33,4926.59,4935.84,18.74,7.97,BEAR,1092,4
2026-02-05 04:12:00,4935.91,4935.97,4924.69,4926.55,11.28,9.36,BEAR,1275,4
2026-02-05 04:13:00,4926.25,4928.59,4919.56,4927.36,9.03,1.11,BULL,1104,4
2026-02-05 04:14:00,4927.65,4928.95,4903.64,4915.64,25.31,12.01,BEAR,1223,4
2026-02-05 04:15:00,4915.68,4922.08,4895.58,4909.34,26.5,6.34,BEAR,1323,4
2026-02-05 04:16:00,4909.34,4913.54,4897.44,4897.87,16.1,11.47,BEAR,1233,4
2026-02-05 04:17:00,4897.87,4915.25,4896.48,4908.92,18.77,11.05,BULL,1151,4
2026-02-05 04:18:00,4908.92,4916.56,4908.53,4915.35,8.03,6.43,BULL,1170,4
2026-02-05 04:19:00,4915.35,4918.41,4906.12,4908.97,12.29,6.38,BEAR,1292,4
2026-02-05 04:20:00,4908.97,4913.4,4903.84,4913.4,9.56,4.43,BULL,1131,4
2026-02-05 04:21:00,4913.4,4919.34,4907.88,4916.85,11.46,3.45,BULL,1038,4
2026-02-05 04:22:00,4916.81,4928.64,4916.57,4926.64,12.07,9.83,BULL,1000,4
2026-02-05 04:23:00,4926.64,4934.11,4926.12,4930.92,7.99,4.28,BULL,806,4
2026-02-05 04:24:00,4930.92,4933.76,4924.42,4933.49,9.34,2.57,BULL,830,4
2026-02-05 04:25:00,4933.32,4938.57,4931.26,4935.62,7.31,2.3,BULL,834,4
2026-02-05 04:26:00,4935.62,4941.06,4933.27,4940.64,7.79,5.02,BULL,758,4
2026-02-05 04:27:00,4940.63,4941.33,4933.29,4936.0,8.04,4.63,BEAR,818,4
2026-02-05 04:28:00,4935.98,4936.62,4926.52,4935.91,10.1,0.07,BEAR,870,4
2026-02-05 04:29:00,4935.87,4942.26,4935.84,4937.08,6.42,1.21,BULL,824,4
2026-02-05 04:30:00,4937.05,4938.41,4927.91,4934.05,10.5,3.0,BEAR,1271,4
2026-02-05 04:31:00,4934.05,4940.68,4932.69,4940.1,7.99,6.05,BULL,1036,4
2026-02-05 04:32:00,4940.1,4940.43,4918.6,4921.31,21.83,18.79,BEAR,1153,4
2026-02-05 04:33:00,4921.27,4922.11,4912.68,4918.81,9.43,2.46,BEAR,1283,4
2026-02-05 04:34:00,4918.96,4925.16,4911.66,4921.48,13.5,2.52,BULL,1185,4
2026-02-05 04:35:00,4921.48,4933.15,4921.46,4926.79,11.69,5.31,BULL,1003,4
2026-02-05 04:36:00,4926.79,4930.26,4923.13,4926.44,7.13,0.35,BEAR,855,4
2026-02-05 04:37:00,4926.41,4927.26,4920.27,4924.67,6.99,1.74,BEAR,725,4
2026-02-05 04:38:00,4924.62,4924.62,4911.82,4914.58,12.8,10.04,BEAR,1022,4
2026-02-05 04:39:00,4914.56,4918.03,4908.76,4915.82,9.27,1.26,BULL,1111,4
2026-02-05 04:40:00,4915.72,4916.45,4904.16,4911.56,12.29,4.16,BEAR,1035,4
2026-02-05 04:41:00,4911.56,4914.93,4898.43,4901.77,16.5,9.79,BEAR,1121,4
2026-02-05 04:42:00,4904.11,4915.17,4904.11,4912.83,11.06,8.72,BULL,1042,4
2026-02-05 04:43:00,4912.87,4913.63,4906.41,4907.21,7.22,5.66,BEAR,1063,4
2026-02-05 04:44:00,4907.21,4910.63,4895.87,4896.89,14.76,10.32,BEAR,1308,4
